judul,isi,tanggal,kategori
Basuki Terisak saat Pamitan ke DPR: Saya Mules Setiap Berangkat Rapat,"Menteri PUPR Basuki Hadimuljono terisak saat pamitan dengan Komisi V DPR RI. Pria yang akrab disapa Pak Bas itu terharu saat menyampaikan salam perpisahan. Perpisahan itu dilakukan dalam rapat kerja (raker) terakhir Komisi V DPR RI 2019-2024 dengan para mitranya di DPR. ""Saya atas nama keluarga besar Kementerian PUPR mengucapkan terima kasih atas semua pengawasan dan atensi yang bapak (Komisi V DPR RI) berikan kepada Kementerian PUPR,"" tutur Basuki dalam Raker dengan Komisi V DPR RI di Jakarta Pusat, Senin (9/9). ""Walaupun setiap raker, berangkat, saya pasti mules. Tapi ternyata raker itu sangat membantu (dan) mendorong saya, khususnya sebagai menteri untuk koreksi kepada pimpinan eselon I kami. Izinkan saya mengucapkan terima kasih,"" tambahnya. Profil Marimutu Sinivasan, Buron BLBI yang Ditangkap Saat Mau Kabur Basuki dan jajaran Kementerian PUPR berdiri kemudian menunduk berterima kasih kepada para anggota DPR RI. Ia lantas mengucapkan kata-kata perpisahan yang sudah dirangkai rapi. Anak buah Presiden Joko Widodo itu tak dapat menahan rasa haru. Terlebih, Basuki sudah menjabat sebagai menteri PUPR selama 10 tahun alias dua periode Jokowi. ""10 tahun telah berlalu kita bersama, berkarya untuk membangun bangsa. Andai kata ada kata-kata yang tidak sama, mohon maaf please jangan dipendam selama-lamanya. Sakinah mawadah warahmah adalah harapan semua keluarga dan kita semua. Walaupun tiba saatnya kini berpisah, semoga silaturahmi tetap dapat kita jaga,"" tutur Basuki. ""Sekali lagi terima kasih bapak atas semuanya, tidak mudah membina hubungan kekeluargaan seperti di Komisi V ini. Apapun yang bapak-bapak sampaikan, kami rasakan itu memang tujuannya baik untuk membangun kita semua,"" tandasnya. Salam perpisahan juga disampaikan Menteri Perhubungan Budi Karya Sumadi yang hadir dalam rapat tersebut. Ia turut meminta maaf kepada para wakil rakyat. Menhub mengatakan selama ini komunikasinya dengan Komisi V DPR RI cukup intens. Meski ada duka, Budi menegaskan lebih banyak suka yang ia dan jajaran Kementerian Perhubungan rasakan. ""Atas nama semua rekan-rekan di Kementerian Perhubungan mengucapkan mohon maaf apabila ada hal-hal yang kurang memenuhi hal-hal merupakan aspirasi masyarakat. Terutama karena memang ada hal yang belum atau tidak dapat kita penuhi,"" ucap Budi. ""Insyaallah di masa mendatang kita tetap bisa menjalankan dengan cara-cara yang baik,"" tutupnya. Pada raker kali ini, Kementerian PUPR dan Kemenhub sama-sama mendapatkan persetujuan tambahan anggaran di 2025. Semula, Basuki Cs mendapatkan Rp75,63 triliun di RAPBN 2025, lalu ditambah menjadi Rp136,94 triliun. Kemenhub juga disuntik Rp55,87 triliun, sehingga anggarannya naik dari Rp24,76 triliun ke Rp80,63 triliun pada tahun depan. Menteri PUPR Basuki Hadimuljono lantas bernyanyi Kemesraan-Iwan Fals. Ia memimpin momen nyanyi bersama itu dengan para wakil rakyat. [Gambas:Video CNN] (skt/pta)","Senin, 09 Sep 2024 19:38 WIB",Ekonomi
"PGE Usung Paradigma Baru, Utamakan Kolaborasi dalam Transisi Energi","PT Pertamina Geothermal Energy Tbk (PGE) kembali menegaskan komitmennya dalam mendorong pengembangan energi panas bumi di Indonesia. Dalam ajang Indonesia International Sustainability Forum (ISF) 2024, PGE meluncurkan paradigma baru yang mengutamakan kolaborasi lintas sektor untuk mempercepat transisi energi menuju target Net Zero Emission (NZE) 2060. Pada sesi pleno forum tersebut, Menteri Koordinator Bidang Kemaritiman, Luhut B. Pandjaitan, menegaskan bahwa percepatan transisi energi memerlukan upaya kolektif yang melibatkan berbagai pihak, mulai dari pemerintah, industri, hingga investor. Menurutnya, masa depan transisi energi Indonesia bergantung pada komitmen kolaboratif dari semua pemangku kepentingan. Sejalan dengan visi tersebut, Direktur Utama PT Pertamina (Persero), Nicke Widyawati, menambahkan bahwa panas bumi merupakan solusi terbaik bagi Indonesia dalam perjalanan menuju energi bersih. Karakteristik panas bumi yang mampu menjadi sumber energi baseload menjadi alasan kuat mengapa Indonesia perlu mengoptimalkan potensi ini melalui kolaborasi yang kuat antar seluruh pemangku kepentingan. Untuk memaksimalkan potensi panas bumi yang ada, Direktur Utama PGE, Julfi Hadi, menyampaikan bahwa paradigma baru dalam pengembangan energi panas bumi dibutuhkan untuk membuat investasi di sektor energi terbarukan ini lebih menarik dengan tingkat tarif yang ada. ""Selama ini tidak ada cara baru dalam pengembangan panas bumi, padahal kita perlu mempercepat pengembangan panas bumi dalam 6-8 tahun ke depan untuk mencapai target kapasitas panas bumi nasional sebesar 7 GW pada 2033. Kita memerlukan terobosan untuk bisa menurunkan biaya pengembangan panas bumi dan mengubah paradigma melalui model bisnis yang baru,"" ujarnya dalam keterangan tertulis, Senin (9/9). Menurutnya, perubahan paradigma dalam pengembangan energi panas bumi menjadi penting, karena dengan tarif saat ini perlu ada pendekatan yang lebih optimal untuk meningkatkan profitabilitas pengembang (independent power producers/IPP). Paradigma baru yang ditawarkan PGE mengedepankan tiga strategi utama untuk mencapai hal ini. Pertama, strategi pembaruan model bisnis melalui pengembangan bertahap di wilayah kerja panas bumi untuk meningkatkan peluang keberhasilan dan optimalisasi biaya, mengingat pengembangan langsung dalam skala besar biasanya sering menimbulkan pembengkakan biaya. Kedua, strategi menurunkan biaya ongkos pengembangan per unit (USD per MW) melalui penggunaan teknologi baru dan menaikkan volume operasi melalui kolaborasi antar-pengembang panas bumi untuk membangun pasar dan konsolidasi permintaan. Ketiga, strategi diversifikasi melalui pengembangan bisnis terkait dan manufaktur lokal. Pengembang panas bumi perlu ekspansi bisnis non-kelistrikan (off-grid) seperti hidrogen hijau dan amonia hijau dan mempromosikan pengembangan teknologi dan manufaktur lokal untuk komponen utama pembangkit listrik panas bumi di dalam negeri. Di samping itu, Julfi mengingatkan, penting untuk mempertimbangkan insentif lainnya seperti akses ke pinjaman lunak (concessional loan) dan penjualan kredit karbon internasional. Hal ini juga memerlukan dukungan pemerintah untuk memberikan insentif tambahan, terutama dukungan untuk peningkatan kandungan lokal dan infrastruktur. ""Pengembang panas bumi perlu meninggalkan paradigma dan model bisnis lama yang masih memakai pendekatan business as usual dan membatasi kolaborasi yang menyebabkan tingkat pengembalian (internal rate of return) marginal. Kita perlu berkembang dan berkolaborasi bersama untuk menjadikan panas bumi bisa memainkan peran penting dalam transisi energi nasional,"" papar dia. Dengan sumber daya yang dimiliki, PGE optimistis dapat menjadi motor penggerak dan pemimpin percepatan pengembangan panas bumi nasional. PGE saat ini mengelola 15 wilayah kerja panas bumi (WKP) dengan kapasitas terpasang 672 MW. Kapoasitas tersebut akan dinaikkan menjadi 1 GW dalam dua sampai tiga tahun ke depan. Dengan total potensi cadangan panas bumi sebesar 3 GW yang siap dikembangkan dari 10 WKP yang dikelola sendiri. ""PGE sudah walking the talk dalam mewujudkan paradigma baru. Sudah banyak hal yang kita lakukan seperti berkolaborasi dalam eksplorasi sumber daya, mendorong pengembangan teknologi baru di Indonesia, dan mengembangkan manufaktur lokal. PGE juga menginisiasi proyek percontohan hidrogen hijau di Ulubelu,"" pungkas Julfi. (rir)","Senin, 09 Sep 2024 19:06 WIB",Ekonomi
"Angkasa Pura Resmi Merger, Erick Thohir Jamin Tak Ada PHK","Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir memastikan tidak ada pemutusan hubungan kerja (PHK) terhadap karyawan PT Angkasa Pura I (AP I) dan PT Angkasa Pura II (AP II) usai merger menjadi PT Angkasa Pura Indonesia (InJourney Airports) hari ini (9/9). Erick mulanya mengatakan dirinya bersama Menteri Perhubungan (Menhub) Budi Karya Sumadi selalu berkomitmen dalam memastikan Indonesia dapat bersaing dalam sektor logistik. Ia menekankan perlunya menekan biaya logistik hingga kemudahan untuk bertransportasi. Ia kemudian bercerita soal suksesnya upaya pemerintah menggabungkan PT Pelindo menjadi satu pada 2021 silam. Erick mengatakan penggabungan itu memberikan hasil luar biasa tanpa adanya isu PHK dan bahkan terjadi efisiensi. ""Nah sama ini Angkasa Pura I, (Angkasa Pura) II, menjadi Angkasa Pura Indonesia. Jadi isu layoff tidak ada, justru ini isu pengembangan, ini kita mengolah 37 airport, di mana akan menjadi satu sistem pelayanan,"" ujar dia di Kantor Pusat InJourney, Menteng, Jakarta Pusat, Senin (9/9). Profil Marimutu Sinivasan, Buron BLBI yang Ditangkap Saat Mau Kabur ""Sehingga kalau kita sering ke luar negeri melihat banyak airport juga yang sekarang berubah model, tidak hanya buat transportasi, tetapi membangun sebuah ekosistem baru,"" imbuhnya. Ia menekankan bagaimana pendapatan dari sektor penerbangan atau aeronautika dan non-aero sudah mulai meningkat. Menurutnya, bandara memang menjadi pusat kehidupan manusia tak hanya di Indonesia, tapi di negara lainnya. Maka itu, Erick mengatakan pihaknya ke depan akan memperbaiki model bisnis InJourney Airports sehingga pendapatan non-aero bisa terus meningkat seperti yang diklaim sudah dilakukan saat ini. Merger AP I dan AP II menjadi InJourney Airports telah diresmikan pemerintah pada Senin (9/9). Entitas baru ini masuk ke dalam anggota Holding BUMN Aviasi dan Pariwisata PT Aviasi Pariwisata Indonesia (Persero) alias InJourney. Aturan Baru Usaha Franchise Dirilis Jokowi, Apa Isinya? Direktur Utama InJourney Dony Oskaria mengatakan hasil konsolidasi AP I dan II ke dalam InJourney Airports membuat operator bandara milik negara ini menjadi terbesar ke-5 di dunia. ""Syukur kami sampaikan bahwa tepatnya hari ini kita menjadi operator airport nomor lima terbesar di dunia,"" kata dia dalam kesempatan yang sama. Dony menjelaskan proses penggabungan AP I dan AP II tidak mudah. Sebab, banyak adanya perbedaan bisnis di antara keduanya, seperti perbedaan kebijakan operasional bisnis bandara hingga sistem rekrutmen pegawai. Selain itu, Dony menyebut pelaksanaan proses merger ini juga diharuskan untuk tidak mengganggu operasional kedua bandara demi kenyamanan penumpang. Karena itu, diperlukan waktu hingga sembilan bulan untuk menyelesaikan proses merger usaha sejak Desember 2023 silam. ""Dan Alhamdulillah proses merger ini sudah selesai, termasuk di dalamnya kami menyelesaikan 69 aturan supaya sesuai dengan aturan yang berlaku,"" ucapnya lebih lanjut. Ke depan, InJourney Airports difokuskan untuk meningkatkan pendapatan di luar sektor non aero. Salah satu strategi untuk memacu bisnis non aero adalah memanfaatkan lahan-lahan menganggur di kawasan bandara agar menjadi optimal. Peresmian InJourney Airports dihadiri oleh Erick, Budi Karya, hingga Wakil Menteri BUMN Kartika Wirjoatmodjo, juga Direktur Utama InJourney Airports Faik Fahmi. [Gambas:Video CNN] (del/pta)","Senin, 09 Sep 2024 18:55 WIB",Ekonomi
Menhub soal Subsidi KRL Berbasis NIK: Kita Beri yang Terbaik,"Menteri Perhubungan Budi Karya Sumadi berjanji akan memberi yang terbaik di tengah polemik subsidi KRL berbasis Nomor Induk Kependudukan (NIK). ""Kita akan memberikan yang terbaik untuk masyarakat,"" tegas Budi selepas Rapat Kerja dengan Komisi V DPR RI di Jakarta Pusat, Senin (9/9). Ia irit bicara saat ditanya terkait kebijakan kontroversial itu. Budi lebih memilih membahas inti pembahasan rapat meski wartawan bertanya tentang wacana subsidi KRL menjadi berbasis NIK. Pada raker kali ini, Kementerian Perhubungan mendapatkan persetujuan penambahan anggaran dari DPR RI. ""Kita memohon penambahan (anggaran) itu bukan karena apa-apa, tapi di antaranya ada subsidi, dan sebagainya,"" katanya. Profil Marimutu Sinivasan, Buron BLBI yang Ditangkap Saat Mau Kabur Pada RAPBN 2025 ditetapkan anggaran Kemenhub sebesar Rp24,76 triliun. Namun, akhirnya Komisi V DPR RI menyetujui tambahan anggaran sekitar Rp55,87 triliun menjadi Rp80,63 triliun. Sebelumnya, isu perubahan penyaluran subsidi tiket KRL menjadi berbasis NIK muncul dalam Dokumen Nota Keuangan APBN 2025. Dijelaskan anggaran belanja subsidi public service obligation (PSO) untuk PT Kereta Api Indonesia (KAI) sebesar Rp4,79 triliun. ""Penerapan tiket elektronik berbasis NIK kepada pengguna transportasi KRL Jabodetabek,"" tulis Buku Nota II Nota Keuangan RAPBN 2025. Akan tetapi, Presiden Joko Widodo (Jokowi) mengaku belum mengetahui terkait rencana tersebut. Ia berdalih belum ada rapat mengubah skema pemberian subsidi tiket KRL mulai 2025. [Gambas:Video CNN] (skt/pta)","Senin, 09 Sep 2024 18:18 WIB",Ekonomi
Babak Pertama: Indonesia dan Australia Sama Kuat,"Timnas Indonesia Australia bermain imbang dalam laga babak pertama Kualifikasi Piala Dunia 2026 di Stadion Utama Gelora Bung Karno, Selasa (10/9) malam. Sesaat setelah kick off dilakukan, Sandy Walsh dan Rafael Struick langsung mengancam gawang Australia dengan sepakan yang bolanya diblok kiper Matthew Ryan. Timnas Indonesia kemudian lantas mencoba agresif menyerang dan menghasilkan sepak pojok. Australia bisa membendung serangan tim Merah Putih sembari mencoba mengatur koordinasi keluar dari tekanan. Pilihan Redaksi Perbandingan Ranking FIFA Timnas Indonesia vs Australia Jalan Berlumpur PON Aceh Sumut, Pertandingan Voli Ditunda Dua Finalis Olimpiade Tarung di Final Speed Panjat Tebing PON 2024 Australia sempat pula membawa bola masuk ke kotak penalti Indonesia, namun Rizky Ridho dan kawan-kawan juga solid dalam bertahan. Pada menit ke-20 Australia memiliki peluang lewat sepakan Harry Soutar. Maarten Paes tampil apik dengan menepis kans tersebut. Dua menit kemudian Paes kembali menghalau sundulan Souttar. Dua peluang Socceroos tersebut hadir dari situasi tendangan penjuru. Timnas Indonesia kemudian kehilangan penguasaan bola. Australia dominan memainkan si kulit bulat. Selain tekanan Australia, terdapat kesalahan umpan pula dari lini belakang yang membuat lawan bisa membuat situasi berbahaya. Tim tamu kembali memiliki peluang emas melalui sepakan Nestory Irankunda yang mengenai tiang kiri gawang pada menit ke-33. Bola sempat memantul ke kaki Paes. Laju bola tak berlanjut ke gawang dan dibuang. Dua menit berselang giliran Craig Goodwin yang punya kesempatan. Dari sisi kiri Goodwin menembus kotak penalti dan melepaskan tembakan. Lagi-lagi Paes melakukan penyelamatan gemilang. Australia berupaya mempertahankan ritme yang sudah mereka dapat sejak sepertiga awal babak pertama. Sementara Indonesia masih terus berusaha mencuri kesempatan memainkan bola dan melepaskan serangan cepat. Hingga wasit meniup peluit tanda turun minum, skor 0-0 bertahan. Susunan Pemain Timnas Indonesia vs Australia: Timnas Indonesia: Maarten Paes; Rizky Ridho, Jay Idzes, Justin Hubner; Sandy Walsh, Ivar Jenner, Nathan Tjoe-A-On, Calvin Verdonk; Marselino Ferdinan, Rafael Struick, Ragnar Oratmangoen. Australia: Mathew Ryan; Alessandro Circati, Harry Soutar, Cameron Burgess, Aziz Behich; Jackson Irvine, Samuel Silvera, Mitchel Duke, Keanu Baccus, Nestory Irankunda, Craig Goodwin. [Gambas:Video CNN] (nva/jun)","Selasa, 10 Sep 2024 19:54 WIB",Olahraga
Dua Finalis Olimpiade Tarung di Final Speed Panjat Tebing PON 2024,"Dua atlet finalis Olimpiade Paris 2024, Rajiah Sallsabillah dan Desak Rita bakal bersaing di final panjat tebing nomor speed perorangan PON XXI Aceh-Sumatera Utara 2024, Rabu (11/9). Pada babak kualifikasi nomor speed perorangan putri, Desak Made Rita Kusuma Dewi yang mewakili Bali mencatatkan waktu terbaik 6,69 detik. ""Saya ingin menampilkan yang terbaik untuk diri sendiri dan final nanti ingin mempersembahkan medali untuk Bali,"" kata Desak Rita di Kompleks Stadion Harapan Bangsa, Banda Aceh, Selasa (10/9). Pilihan Redaksi Saaih Halilintar Gagal Ikut PON Karena Tidak Punya NPWP-BPJS Kesehatan Jalan Berlumpur PON Aceh Sumut, Pertandingan Voli Ditunda Daftar 4 Tim Lolos ke Semifinal Badminton Beregu Putri PON 2024 Pada kualifikasi tahap pertama di dinding B, ia mencatatkan waktu terbaik 6,69 detik setelah berhadapan dengan wakil NTB, Nurul Iqamah dengan catatan waktu 6,99 detik. Sedangkan pada tahap kedua di dinding A, berhadapan dengan atlet asal Banten Rajiah Sallsabillah, atlet berusia 23 tahun itu sempat terpeleset sehingga mencatatkan 7,85 detik. Hasil itu membuat atlet asal Desa Sambangan, Kabupaten Buleleng tersebut memastikan tempat di babak final pada nomor speed perorangan putri PON XXI Wilayah Aceh. Sedangkan pesaing terberatnya yakni Rajiah mencatatkan waktu 6,56 detik. Dengan begitu, Rajiah menduduki posisi puncak disusul Desak Rita di posisi kedua babak kualifikasi sehingga melanjutkan ke babak berikutnya yakni babak final dijadwalkan pada Rabu besok. Kedua atlet finalis Olimpiade Paris 2024 itu dipastikan bersaing ketat pada babak final. Sedangkan wakil dari Bali lainnya pada nomor yang sama yakni Kadek Adi Asih sempat terpelesat pada tahap pertama dan tahap kedua mencatatkan waktu 7,85 detik. Kadek terhenti pada babak kualifikasi karena menduduki posisi ke-12. ""Semua atlet yang berkompetisi punya peluang meraih medali dan untuk saya lebih fokus ke diri sendiri untuk tampil terbaik,"" katanya. Ketika ditanya terkait insiden terpeleset pada tahap kedua, ia mengaku mengalami kesalahan dan kurang stabil. ""Ada error sedikit, agak goyang dan kurang fokus,"" katanya. Untuk itu, ia akan memperbaiki diri agar bisa fokus saat babak final. Di sisi lain ia mengucapkan terima kasih atas dukungan masyarakat Bali dan Penjabat Gubernur Bali Sang Made Mahendra Jaya yang ikut menonton langsung. ""Kalau beban pasti ada, tapi balik ke diri sendiri agar bisa fokus dan percaya diri bahwa saya bisa,"" ucapnya. [Gambas:Video CNN] (Antara/kid)","Selasa, 10 Sep 2024 19:25 WIB",Olahraga
Reaksi Ragnar Oratmangoen usai Debut Negatif di Liga Belgia,"Winger Timnas Indonesia Ragnar Oratmangoen menjalani debut bersama FCV Dender di Liga Belgia dengan hasil kurang memuaskan. Ragnar yang turun dari bangku cadangan, terpaksa pulang dengan tangan kosong usai kalah 0-4 dari Genk di Stadion Cegeka Arena, Minggu (22/9). ""Senang bisa menjalani debut tapi tidak dengan hasilnya,"" ucap Ragnar via media sosial Instagram, Selasa (24/9). Pilihan Redaksi Ketua Bomber Angkat Bicara Usai Kerusuhan Suporter Persib Pelatih Timor Leste U-20 Tolak Panggil Gali Freitas Lawan Indonesia Ketua Viking Minta Maaf, Siap Tanggung Jawab Jika Anggota Terlibat Ragnar mendapat kepercayaan bermain menggantikan Malcolm Viltard pada menit ke-59. Saat itu Dender sudah tertinggal 0-2 dari tim tuan rumah. Kehadiran Ragnar tak membuat Dender bisa membalikkan keadaan. Klub yang dimiliki Sihar Sitorus itu malah kebobolan dua gol tambahan. Kendati demikian, statistik Ragnar ternyata tidak jelek-jelek amat. Sofascore memberikan nilai 6,7 meski Ragnar hanya bermain selaman 31 menit di waktu normal. Nilai tersebut masih lebih baik dari enam pemain utama Dender yang tampil sejak menit awal. Pemain Dender dengan nilai terendah adalah Fabio Ferraro (5,8). Akurasi operan Ragnar cukup bagus di laga tersebut. Ia tercatat sukses melakukan 88 persen umpan akurat selama bertanding. [Gambas:Instagram] Hanya saja Ragnar harus bermain lebih tenang ketika sedang menguasai bola. Sedikitnya ada lima momen Ragnar kehilangan bola di lapangan. Kekalahan tersebut membuat Dender anjlok di peringkat ke-10 klasemen Liga Belgia dengan 11 poin. Namun, Dender masih jauh lebih baik dari pencapaian tim juru kunci Beerschot yang hanya mendulang satu poin dan terpuruk di posisi ke-16. [Gambas:Video CNN] (jun)","Selasa, 24 Sep 2024 22:21 WIB",Olahraga
"Thom-Witan Tak Starter Lawan Australia, Diganti Justin-Marselino","Ada perubahan di Starting XI Timnas Indonesia pada laga kedua Grup C babak ketiga kualifikasi Piala Dunia 2026 melawan Australia di Stadion Utama Gelora Bung Karno (SUGBK), Jakarta, Selasa (10/9) malam. Pelatih Timnas Indonesia Shin Tae Yong (STY) tetap menggunakan pakem 3-4-3 dan memberikan kepercayaan ban kapten kepada Jay Idzes, seperti pada laga pertama melawan tuan rumah Arab Saudi di Jeddah beberapa hari lalu. Namun, ada perubahan di starting XI skuad Garuda. STY menyimpan 'The Professor' Thom Haye dan winger Witan Sulaeman di bangku cadangan. Pilihan Redaksi Link Live Streaming Timnas Indonesia vs Australia, Kick Off 19.00 WIB Perbedaan Harga Pasar Timnas Indonesia vs Australia 3 Pemain Tak Masuk Line Up Timnas Indonesia vs Australia Sebagai ganti keduanya, dalam laga melawan Australia, STY memasang Justin Hubner dan Marselino Ferdinan sebagai starter. Sementara di bawah mistar gawang, sosok Maarten Paes tetap jadi andalan. Maarten yang baru melakoni debut timnas di laga tandang ke Arab Saudi itu disokong trio lini pertahanan Jay Idzes, Rizky Ridho, dan Justin. Di lini tengah ada Sandy Walsh, Ivar Jenner, Nathan Tjoe A On, dan Calvin Verdonk. Di lini depan, sosok Ragnar Oratmangoen akan tetap jadi andalan di lini depan. Ia akan mendapatkan dukungan dari Marselino Ferdinan dan Rafael Struick yang performanya tergolong baik saat bersua Arab Saudi. Susunan pemain Timnas Indonesia vs Australia: Indonesia XI: Maarten Paes; Jay Idzes, Rizky Ridho, Justin Hubner; Sandy Walsh, Ivar Jenner, Nathan Tjoe-A-On, Calvin Verdonk; Ragnar Oratmangoen, Rafael Struick, Marselino Ferdinan. Australia XI: Mathew Ryan; Alessandro Circati, Harry Soutar, Cameron Burgess, Aziz Behich; Jackson Irvine, Samuel Silvera, Mitchel Duke, Keanu Baccus, Nestory Irankunda, Craig Goodwin. [Gambas:Video CNN] (kid)","Selasa, 10 Sep 2024 18:50 WIB",Olahraga
3 Pemain Tak Masuk Line Up Timnas Indonesia vs Australia,"Sebanyak tiga pemain Timnas Indonesia tak masuk daftar susunan pemain lawan Australia pada matchday kedua Kualifikasi Piala Dunia 2026 di Stadion Utama Gelora Bung Karno, Selasa (10/9). Ketiga pemain yang absen adalah dua penyerang, Ramadhan Sananta dan Dimas Drajad, serta penjaga gawang pelapis Adi Satryo. Pelatih Timnas Indonesia Shin Tae Yong menyertakan tiga nama penjaga gawang Lawan Australia. Maarten Paes starter sementara Ernando Ari Sutaryadi dan Nadeo Argawinata cadangan. Pilihan Redaksi Link Live Streaming Timnas Indonesia vs Australia, Kick Off 19.00 WIB Prediksi Line Up Indonesia vs Australia di Kualifikasi Piala Dunia Susunan Pemain Timnas Indonesia vs Australia: Marselino-Hubner Starter Paes tak tergantikan di bawah mistar gawang Timnas Indonesia usai tampil cemerlang pada debutnya melawan Arab Saudi di Jeddah, Kamis (5/9) waktu setempat. Sementara Ramadhan Sananta dan Dimas Drajad harus rela menunggu giliran bermain karena pelatih hanya bisa mendaftarkan 23 nama pemain dalam satu pertandingan. Pada laga Indonesia vs Australia, Indonesia mengandalkan Ragnar Oratmangoen, Rafael Struick, dan Marselino Ferdinan di lini depan. Tiga pemain depan yang siap turun sebagai pemain depan adalah Witan Sulaeman, Egy Maulana Vikri, dan Hokky Caraka. Selain itu, STY juga melakukan rotasi pemain bintang di laga ini. Thom Haye dan Witan yang main sejak menit awal lawan Arab Saudi, harus puas duduk di bench di Indonesia vs Australia. Thom Haye digantikan Marselino, sementara Justin Hubner menggantikan Witan. Meski demikian, posisi Thom Haye di lini tengah digantikan Nathan Tjoe A On, sementara peran Witan diganti Marselino. 3 Pemain Tak Masuk Line Up di Indonesia vs Australia: 1. Ramadhan Sananta2. Dimas Drajad3. Adi Satryo. [Gambas:Video CNN] (jun/nva)","Selasa, 10 Sep 2024 18:37 WIB",Olahraga
Perbedaan Harga Pasar Timnas Indonesia vs Australia,"Timnas Indonesia dan Australia memiliki perbedaan harga pasar yang mencolok jelang duel kedua tim dalam Kualifikasi Piala Dunia 2026 di Stadion Utama Gelora Bung Karno (GBK), Selasa (10/9). Timnas Indonesia menjamu Australia dalam laga kedua Grup C babak ketiga Kualifikasi Piala Dunia 2026 di GBK. Pertandingan ini jadi laga kandang pertama Indonesia dalam babak ketiga Kualifikasi Piala Dunia 2026. Pertandingan nanti akan jadi tantangan berat bagi Timnas Indonesia yang akan melawan Australia, tim berperingkat 24 dalam ranking FIFA. Sementara Indonesia di posisi ke-133. Pilihan Redaksi Momen Timnas Indonesia Hajar Australia 1-0 di Kualifikasi Piala Dunia Reaksi Calvin Verdonk Usai Followers Instagram Tembus 1 Juta Prediksi Timnas Indonesia vs Australia di Kualifikasi Piala Dunia Tidak saja perbedaan mencolok dalam ranking FIFA, Australia juga unggul jauh atas Timnas Indonesia dalam nilai pasar pemainnya. Situs Transfermarkt mencatat The Socceroos memiliki total harga pasar 42,855 juta euro atau setara dengan Rp732,070 miliar. Sementara Timnas Indonesia mempunyai total nilai pasar 16,73 juta euro (sekitar Rp285,79 miliar) atau tiga kali lipat di bawah Australia. Bek asal klub Parma, Alessandro Circati, jadi pemain termahal Australia dengan nilai pasar mencapai 8,5 juta euro. Sedangkan pemain dengan harga tertinggi di Tim Merah Putih adalah gelandang Thom Haye. Akan tetapi sampai saat ini Haye belum mendapatkan klub setelah kontraknya dengan Heerenveen habis. Ketimbang Indonesia, pemain Australia memiliki pemain dengan karier lebih mentereng. Dari 24 nama yang dibawa ke Jakarta, hanya dua pemain yang bermain untuk liga lokal, A-League: Aziz Behich untuk Melbourne City dan Adam Taggart bersama Pert Glory. Sisanya bermain di Jerman, Skotlandia, Inggris, Belgia, Jepang, Swiss, Italia, Denmark, dan Arab Saudi. Alessandro Circati, kiper Matthew Ryan, Joe Gauci adalah pemain-pemain yang bermain di liga-liga top Eropa. Sementara Nestory Irankunda merupakan pemain tim cadangan Bayern Munchen. Di skuad Indonesia, hanya Jay Idzes satu-satunya pemain yang berlaga di liga top Eropa bersama Venezia di Serie A Liga Italia. Pemain lain yang menonjol di Skuad Garuda adalah kiper Maarten Paes dari klub MLS FC Dallas. Calvin Verdonk juga jadi andalan klub Eredivisie NEC Nijmegen. [Gambas:Video CNN] (sry/nva)","Selasa, 10 Sep 2024 18:36 WIB",Olahraga
